company,website_domain,verified_twitter_account_linking_to_domain,crunchbase_account_linking_to_domain,google_query_yielding_domain_in_first_non_ad_position,ssl_ov_verification,country,province,city,serial_number,incorporation_year,source_serial_number,vat_id,employer_identification_number,lei_number,source_lei,isin,confidence,notes_confidence,employees_2022,source_employees,employee_count_estimate_min,employee_count_estimate_max,employees_min,wikidata_id
Message Bird B.V.,messagebird.com,https://twitter.com/messagebird,https://www.crunchbase.com/organization/messagebird,messagebird,FALSE,Netherlands (the),Noord-Holland,Amsterdam,51874474,,https://www.kvk.nl/orderstraat/bedrijf-kiezen/?q=51874474,,,724500CB9LGAEG7FGW61,https://www.gleif.org/en/lei-data/gleif-concatenated-file/download-the-concatenated-file,,0.95,,,,500,1000,100,
H & M Hennes & Mauritz AB,hmgroup.com,,,,TRUE,Sweden,Södermanlands län,Stockholm,556042-7220,,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag/5560427220/foretagsform/AB,,,529900O5RR7R39FRDM42,https://www.gleif.org/en/lei-data/gleif-concatenated-file/download-the-concatenated-file,,0.98,,106522,https://hmgroup.com/wp-content/uploads/2023/03/HM-Group-Annual-and-Sustainability-Report-2022.pdf,,,100000,Q188326
"Epic Games, Inc.",epicgames.com,https://twitter.com/EpicGames,https://www.crunchbase.com/organization/epic-games-2,epic games,FALSE,United States of America (the),North Carolina,Cary,,,,,,,,,0.9,,,,5000,10000,1000,Q739711
REVOLUT LTD,revolut.com,https://twitter.com/RevolutApp,https://www.crunchbase.com/organization/revolut,revolut,FALSE,United Kingdom of Great Britain and Northern Ireland (the),"London, City of",London,"08804411",2013,https://find-and-update.company-information.service.gov.uk/company/08804411,,,,,,0.9,,,,5000,10000,1000,Q22908307
BRITISH BROADCASTING CORPORATION,bbc.com,https://twitter.com/BBC|redirected via bbc.co.uk,https://www.crunchbase.com/organization/bbc,bbc global,FALSE,United Kingdom of Great Britain and Northern Ireland (the),"London, City of",London, RC000057,,https://find-and-update.company-information.service.gov.uk/company/RC000057,,,5493000IBP32UQZ0KL24,https://www.gleif.org/en/lei-data/gleif-concatenated-file/download-the-concatenated-file,,0.98,,21281,https://downloads.bbc.co.uk/aboutthebbc/reports/annualreport/ara-2021-22.pdf,,,10000,Q9531
DELOITTE TOUCHE TOHMATSU LIMITED,deloitte.com,https://twitter.com/Deloitte,https://www.crunchbase.com/organization/deloitte,deloitte,FALSE,United Kingdom of Great Britain and Northern Ireland (the),"London, City of",London,"07271800",2010,https://find-and-update.company-information.service.gov.uk/company/07271800,,,,,,0.9,,415000,https://www.deloitte.com/global/en/about/press-room/global-revenue-announcement.html,,,100000,Q491748
PRICEWATERHOUSECOOPERS INTERNATIONAL LIMITED,pwc.com,https://twitter.com/PwC,https://www.crunchbase.com/organization/pwc,pwc global,FALSE,United Kingdom of Great Britain and Northern Ireland (the),"London, City of",London,"03590073",1998,https://find-and-update.company-information.service.gov.uk/company/03590073,,,,,,0.9,,328000,https://www.pwc.com/gx/en/news-room/press-releases/2022/pwc-global-annual-review-2022.html,,,100000,Q488048
ACCENTURE PUBLIC LIMITED COMPANY,accenture.com,https://twitter.com/Accenture,https://www.crunchbase.com/organization/accenture,accenture,FALSE,Ireland,,Dublin,471706,2009,https://core.cro.ie/e-commerce/company/504547,,,,,IE00B4BNMY34,0.9,,721000,https://www.sec.gov/Archives/edgar/data/1467373/000146737322000295/acn-20220831.htm,,,100000,Q338825
Apple Inc.,apple.com,https://twitter.com/Apple,https://www.crunchbase.com/organization/apple,apple,FALSE,United States of America (the),California,Cupertino,,,,,94-2404110,,,US0378331005,0.9,,164000,https://investor.apple.com/investor-relations/default.aspx,,,100000,Q312
Alphabet Inc.,abc.xyz,,https://www.crunchbase.com/organization/alphabet,alphabet inc,FALSE,United States of America (the),California,Mountain View,,,,,61-1767919,,,US02079K1079,0.9,,190234,https://abc.xyz/investor/static/pdf/2022_alphabet_annual_report.pdf?cache=4316f0c,,,100000,Q20800404
