company,instrument,trading_symbol,isin,index,date,website,ssl_ov_verification,ov_of_subsidiary,country,province,city,serial_number,vat_id
Adidas AG,ADIDAS AG NA O.N.,ADS,DE000A1EWWW0,DAX,03.05.2023,adidas.com,1,0,Germany,Bayern,Herzogenaurach,HRB3868,DE132490588
Airbus SE,AIRBUS SE,AIR,NL0000235190,DAX,03.05.2023,airbus.com,0,0,Netherlands (the),Zuid-Holland,Leiden,24288945,
Allianz SE,ALLIANZ SE NA O.N.,ALV,DE0008404005,DAX,03.05.2023,allianz.com,1,1,Germany,Bayern,München,HRB 164232,DE 129 274 114
Basf SE,BASF SE NA O.N.,BAS,DE000BASF111,DAX,03.05.2023,basf.com,1,1,Germany,Rheinland-Pfalz,Ludwigshafen,HRB 6000,DE 149145247
Bayer AG,BAY.MOTOREN WERKE AG ST,BMW,DE0005190003,DAX,03.05.2023,bayer.com,1,0,Germany,Nordrhein-Westfalen,Leverkusen,HRB 48248,DE 123659859
Bayerische Motoren Werke AG,BAYER AG NA O.N.,BAYN,DE000BAY0017,DAX,03.05.2023,bmw.com,0,,Germany,Bayern,München,HRB 42243,DE129273398
Beiersdorf AG,BEIERSDORF AG O.N.,BEI,DE0005200000,DAX,03.05.2023,beiersdorf.com,Microsoft Corporation, ,Germany,Hamburg,Hamburg,HRB 1787,DE 118 513 961
Brenntag SE,BRENNTAG SE NA O.N.,BNR,DE000A1DAHH0,DAX,03.05.2023,brenntag.com,1,0,Germany,Nordrhein-Westfalen,Essen,HRB 31943,DE 814 733 411
Commerzbank  AG,COMMERZBANK AG,CBK,DE000CBK1001,DAX,03.05.2023,commerzbank.com,1,0,Germany,Hessen,Frankfurt am Main,HRB 32000,DE - 114 103 514 
Continental AG,CONTINENTAL AG O.N.,CON,DE0005439004,DAX,03.05.2023,continental.com,0,,Germany,,,,
Covestro AG,COVESTRO AG  O.N.,1COV,DE0006062144,DAX,03.05.2023,covestro.com,1,0,Germany,,,,
Daimler,DAIMLER TRUCK HLDG NA ON,DTG,DE000DTR0CK8,DAX,03.05.2023,,,,Germany,,,,
Deutsche Bank AG,DEUTSCHE BANK AG NA O.N.,DBK,DE0005140008,DAX,03.05.2023,db.com,1,0,Germany,,,,
Deutsche Boerse AG,DEUTSCHE BOERSE NA O.N.,DB1,DE0005810055,DAX,03.05.2023,deutsche-boerse.com,1,0,Germany,,,,
Deutsche Post AG,DEUTSCHE POST AG NA O.N.,DPW,DE0005552004,DAX,03.05.2023,deutschepost.de,1,0,Germany,,,,
Porsche  ,DR.ING.H.C.F.PORSCHE VZOI,P911,DE000PAG9113,DAX,03.05.2023,,,,Germany,,,,
Deutsche Telekom AG,DT.TELEKOM AG NA,DTE,DE0005557508,DAX,03.05.2023,telekom.com,1,1,Germany,,,,
E. On SE,E.ON SE NA O.N.,EOAN,DE000ENAG999,DAX,03.05.2023,eon.com,1,0,Germany,,,,
Fresenius SE & Co. KGaA,FRESENIUS SE+CO.KGAA O.N.,FRE,DE0005785604,DAX,03.05.2023,fresenius.com,0,,Germany,,,,
Hannover Rück SE,HANNOVER RUECK SE NA O.N.,HNR1,DE0008402215,DAX,03.05.2023,hannover-rueck.de,0,,Germany,Niedersachsen,Hannover,HRB 6778,DE 811185660
HeidelbergCement AG,HEIDELBERGCEMENT AG O.N.,HEI,DE0006047004,DAX,03.05.2023,heidelbergmaterials.com,0,,Germany,,,,
Henkel AG & Co. KGAA,HENKEL AG+CO.KGAA VZO,HEN3,DE0006048432,DAX,03.05.2023,henkel.com,0,,Germany,,,,
Infineon Technologies AG,INFINEON TECH.AG NA O.N.,IFX,DE0006231004,DAX,03.05.2023,infineon.com,1,0,Germany,,,,
Mercedes-Benz Group AG,MERCEDES-BENZ GRP NA O.N.,MBG,DE0007100000,DAX,03.05.2023,mercedes-benz.com,0,,Germany,,,,
Merck KGAA,MERCK KGAA O.N.,MRK,DE0006599905,DAX,03.05.2023,merckgroup.com,1,0,Germany,,,,
MTU Aero Engines AG,MTU AERO ENGINES NA O.N.,MTX,DE000A0D9PT0,DAX,03.05.2023,mtu.de,0,,Germany,,,,
Muenchener Rueckversicherungs-Gesellschaft AG,MUENCH.RUECKVERS.VNA O.N.,MUV2,DE0008430026,DAX,03.05.2023,munichre.com,Munich Re Group, ,Germany,,,,
Porsche Automobil Holding SE - PRF PERPETUAL EUR 1,PORSCHE AUTOM.HLDG VZO,PAH3,DE000PAH0038,DAX,03.05.2023,porsche.com,0, ,Germany,,,,
Qiagen NV,QIAGEN NV         EO -,QIA,NL0012169213,DAX,03.05.2023,qiagen.com,Microsoft Corporation, ,Germany,,,,
Rheinmetall AG,RHEINMETALL AG,RHM,DE0007030009,DAX,03.05.2023,rheinmetall.com,1,0,Germany,Nordrhein-Westfalen,Düsseldorf,HRB 39401,DE 119356818
RWE AG,RWE AG   INH O.N.,RWE,DE0007037129,DAX,03.05.2023,rwe.com,0,,Germany,Nordrhein-Westfalen,Essen,HRB 14525,DE 8130 23 584 
SAP AG,SAP SE O.N.,SAP,DE0007164600,DAX,03.05.2023,sap.com,0,,Germany,Baden-Württemberg,Walldorf,HRB 719915,DE 143454214
Satorius AG,SARTORIUS AG VZO O.N.,SRT3,DE0007165631,DAX,03.05.2023,sartorius.com,0,,Germany,Niedersachsen,Göttingen,HRB 1970,DE 115 302 222
Siemens AG,SIEMENS AG  NA O.N.,SIE,DE0007236101,DAX,03.05.2023,siemens.com,0,,Germany,,,,DE129274202
Siemens Energy AG,SIEMENS ENERGY AG NA O.N.,ENR,DE000ENER6Y0,DAX,03.05.2023,siemens-energy.com,0,,Germany,,,HRA 111200,
Siemens Healthineers AG,SIEMENS HEALTH.AG NA O.N.,SHL,DE000SHL1006,DAX,03.05.2023,siemens-healthineers.com,0,,Germany,,,,
Symrise AG,SYMRISE AG INH. O.N.,SY1,DE000SYM9999,DAX,03.05.2023,symrise.com,0,,Germany,Nordrhein-Westfalen,Holzminden,HRB 200436,DE813508474
Volkswagen AG,VOLKSWAGEN AG VZO O.N.,VOW3,DE0007664039,DAX,03.05.2023,volkswagenag.com,0,,Germany,Niedersachsen,Wolfsburg,HRB 100484,DE 115235681
Vonovia SE,VONOVIA SE NA O.N.,VNA,DE000A1ML7J1,DAX,03.05.2023,vonovia.de,0,,Germany,Nordrhein-Westfalen,Bochum,HRB 16879,DE 197946568
Zalando SE,ZALANDO SE,ZAL,DE000ZAL1111,DAX,03.05.2023,zalando.com,0,,Germany,Berlin,Berlin,HRB 158855,DE 260543043
