name,CIK,location_untrusted_source,name_worker_1,name_worker_2,worker_agreement_exact,worker agreement,domain_worker_1,domain_worker_2,website_domain,worker_agreement_exact,worker agreement,city_worker_1,city_worker_2,city,worker_agreement_exact,worker agreement,province_worker_1,province_worker_2,province,worker_agreement_exact,worker agreement,country_worker_1,country_worker_2,country,worker_agreement_exact,worker agreement,employees_worker_1,employees_worker_2,employees_worker_2_integer,employees,worker_agreement_exact,worker agreement,worker_agreement_approximate,serial_number_worker_1,serial_number_worker_2,serial_number,worker_agreement_exact,worker agreement,source_worker_1,matching_year,matching_cik,source_worker_2,matching_year,matching_cik,worker_agreement_exact,worker agreement,source,source_serial_number,confidence
3M COMPANY,66740,"Saint Paul, Minnesota",3M COMPANY,3M COMPANY,1,1,3m.com,3m.com,3m.com,1,1,Saint Paul,Saint Paul,Saint Paul,1,1,Minnesota,Minnesota,Minnesota,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,92000,92000,92000,10000,1,1,1,41-0417775,41-0417775,41-0417775,1,1,https://www.sec.gov/Archives/edgar/data/66740/000006674023000014/mmm-20221231.htm,69,41,https://www.sec.gov/Archives/edgar/data/66740/000006674023000014/mmm-20221231.htm,69,41,1,1,https://www.sec.gov/Archives/edgar/data/66740/000006674023000014/mmm-20221231.htm,,0.9
A. O. Smith Corporation,91142,"Milwaukee, Wisconsin",A. O. Smith Corporation,A. O. Smith Corporation,1,1,aosmith.com,aosmith.com,aosmith.com,1,1,Milwaukee,Milwaukee,Milwaukee,1,1,Wisconsin,Wisconsin,Wisconsin,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,12000,12000,12000,10000,1,1,1,39-0619790,39-0619790,39-0619790,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/91142/000009114223000025/aos-20221231.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/91142/000009114223000025/aos-20221231.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/91142/000009114223000025/aos-20221231.htm,,0.9
Abbott Laboratories,1800,"North Chicago, Illinois",Abbott Laboratories,Abbott Laboratories,1,1,abbottinvestor.com>abbott.com,abbottinvestor.com>abbott.com,abbott.com,1,1,Abbott Park,North Chicago,North Chicago,0,0,Illinois,Illinois,Illinois,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,115000,115000,115000,100000,1,1,0,36-0698440,36-0698440,36-0698440,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000001800/000162828023004026/abt-20221231.htm,82,55,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000001800/000162828023004026/abt-20221231.htm,82,55,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000001800/000162828023004026/abt-20221231.htm,,0.9
AbbVie Inc.,1551152,"North Chicago, Illinois",AbbVie Inc.,AbbVie Inc.,1,1,abbvie.com,abbvie.com,abbvie.com,1,1,Chicago,North Chicago,North Chicago,0,0,Illinois,Illinois,Illinois,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,50000,50000,10000,0,0,0,32-0375147,32-0375147,32-0375147,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1551152/000155115223000011/abbv-20221231.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1551152/000155115223000011/abbv-20221231.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1551152/000155115223000011/abbv-20221231.htm,,0.9
Accenture plc,1467373,"Dublin, Ireland",Accenture plc,Accenture plc,1,1,accenture.com,accenture.com,accenture.com,1,1,Dublin,Dublin,Dublin,1,1,,Dublin,,0,0,Ireland,Ireland,Ireland,1,1,738000,721000,721000,100000,0,0,0,98-0627530,98-0627530,471706,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1467373/000146737322000295/acn-20220831.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1467373/000146737322000295/acn-20220831.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1467373/000146737322000295/acn-20220831.htm,https://core.cro.ie/e-commerce/company/search/504547,0.9
"ACTIVISION BLIZZARD, INC.",718877,"Santa Monica, California","ACTIVISION BLIZZARD, INC.","ACTIVISION BLIZZARD, INC.",1,1,activisionblizzard.com,activisionblizzard.com,activisionblizzard.com,1,1,Santa Monica,Santa Monica,Santa Monica,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,13000,13000,13000,10000,0,1,1,95-4803544,95-4803544,95-4803544,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/718877/000162828023004842/atvi-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/718877/000162828023004842/atvi-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/718877/000162828023004842/atvi-20221231.htm,,0.9
ARCHER-DANIELS-MIDLAND COMPANY,7084,"Chicago, Illinois",Archer-Daniels-Midland Co,ARCHER-DANIELS-MIDLAND COMPANY,0,0,adm.com,adm.com,adm.com,1,1,Chicago,Chicago,Chicago,1,1,Illinois,Illinois,Illinois,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,42001,42000,42000,10000,0,0,1,41-0129150,41-0129150,41-0129150,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/7084/000000708423000010/adm-20221231.htm,76,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/7084/000000708423000010/adm-20221231.htm,76,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/7084/000000708423000010/adm-20221231.htm,,0.9
ADOBE INC.,796343,"San Jose, California",Adobe Inc,ADOBE INC.,0,0,adobe.com,adobe.com,adobe.com,1,1,San Jose,San Jose,San Jose,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,29239,29239,29239,10000,0,1,1,77-0019522,77-0019522,77-0019522,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000796343/000079634323000007/adbe-20221202.htm,83,53,https://www.sec.gov/ix?doc=/Archives/edgar/data/796343/000079634323000007/adbe-20221202.htm,79,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/796343/000079634323000007/adbe-20221202.htm,,0.9
"AUTOMATIC DATA PROCESSING, INC.",8670,"Roseland, New Jersey","Automatic Data Processing, Inc","AUTOMATIC DATA PROCESSING, INC.",0,0,adp.com,adp.com,adp.com,1,1,Roseland,Roseland,Roseland,1,1,New Jersey,New Jersey,New Jersey,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,700000,700000,,0,0,0,22-1467904,22-1467904,22-1467904,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/8670/000000867022000038/adp-20220630.htm,76,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/8670/000000867022000038/adp-20220630.htm,76,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/8670/000000867022000038/adp-20220630.htm,,0.9
"ADVANCE AUTO PARTS, INC.",1158449,"Raleigh, North Carolina",ADVANCE AUTO PARTS INC,"ADVANCE AUTO PARTS, INC.",0,0,advanceautoparts.com,AdvanceAutoParts.com,advanceautoparts.com,0,1,Raleigh,Raleigh,Raleigh,1,1,North Carolina,North Carolina,North Carolina,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,67000,40000,40000,10000,0,0,1,54-2049910,54-2049910,54-2049910,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1158449/000115844923000035/aap-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1158449/000115844923000035/aap-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1158449/000115844923000035/aap-20221231.htm,,0.9
