name,english_name,source_domain,website_domain,country,city,province,grid_id,ror_id,confidence,statement_hash
Harvard University,,https://ror.org/03vek6s52,harvard.edu,United States of America (the),Cambridge,Massachusetts,grid.38142.3c,https://ror.org/03vek6s52,0.9,Q79uFn3ynKg2Qon5HUG9GlaLBufGYmrtGeeWiHQi7KM
Massachusetts Institute of Technology,,https://ror.org/042nb2s44,web.mit.edu,United States of America (the),Cambridge,Massachusetts,grid.116068.8,https://ror.org/042nb2s44,0.9,RczCD_t_A2G1iYfaKq8jZpAl86hTD1I7ZjnZEiCUl1U
Stanford University,,https://ror.org/00f54p054,stanford.edu,United States of America (the),Stanford,California,grid.168010.e,https://ror.org/00f54p054,0.9,b7qI1sN_cHTyOqTccOxgYGiCLIhpiMVMBINtdoEmuoQ
University of Cambridge,,https://ror.org/013meh722,cam.ac.uk,United Kingdom of Great Britain and Northern Ireland (the),Cambridge,Massachusetts,grid.5335.0,https://ror.org/013meh722,0.9,2Jn-QmJXxXgCUzj0RZUwm6R4dm35Z_XF19MFIvwDs2o
California Institute of Technology,,https://ror.org/05dxps055,caltech.edu,United States of America (the),Pasadena,California,grid.20861.3d,https://ror.org/05dxps055,0.9,oC9uxqPs8265cJHIcqv9UI8GDr0BYqPFut-ehpvvu7I
Princeton University,,https://ror.org/00hx57361,princeton.edu,United States of America (the),Princeton,New Jersey,grid.16750.35,https://ror.org/00hx57361,0.9,aPZY8YVnCyfC6myKVZ0UfY0HMqzsoN_42m8xZGzrLnw
University of Oxford,,https://ror.org/052gg0110,ox.ac.uk,United Kingdom of Great Britain and Northern Ireland (the),Oxford,Oxfordshire,grid.4991.5,https://ror.org/052gg0110,0.9,skhv46CUsSRD3reSO3viWRMoeJGaPMILKFGYzx9qHC0
Yale University,,https://ror.org/03v76x132,yale.edu,United States of America (the),New Haven,Connecticut,grid.47100.32,https://ror.org/03v76x132,0.9,-g0dAH1LvIaUyvJUYv1myHl0oZze6RxfGyB6v4L_hs4
Columbia University,,https://ror.org/00hj8s172,columbia.edu,United States of America (the),New York,New York,grid.21729.3f,https://ror.org/00hj8s172,0.9,d1sUkSDXp1hC4YN_my-tUkWy6RB7s2IfnV0nRls-gmQ
"University of California, Berkeley",,https://ror.org/01an7q238,berkeley.edu,United States of America (the),Berkeley,California,grid.47840.3f,https://ror.org/01an7q238,0.9,epD1k7fhhwCSxSQ99W9bcIt0wjMGaykxu3XWwFaXHJw
University of Chicago,,https://ror.org/024mw5h28,uchicago.edu,United States of America (the),Chicago,Illinois,grid.170205.1,https://ror.org/024mw5h28,0.9,fZlqbMh3lzb72R2jVt0NLWzXAQc1kZA60qe4oMtWIy8
Cornell University,,https://ror.org/05bnh6r87,cornell.edu,United States of America (the),Ithaca,New York,grid.5386.8,https://ror.org/05bnh6r87,0.9,VLmfR97MKk_XFkaKz4xCe7b66NQrXj4BP0eePaEZAxU
University of Pennsylvania,,https://ror.org/00b30xv10,upenn.edu,United States of America (the),Philadelphia,Pennsylvania,grid.25879.31,https://ror.org/00b30xv10,0.9,InzMO5SgCYhA2LRw2Kp5R5CJWo3-OYSxd1R1OlaloMY
東京大学,Tokyo University of Agriculture,https://ror.org/05crbcr45,nodai.ac.jp,Japan,Tokyo,Tokyo,grid.410772.7,https://ror.org/05crbcr45,0.9,uZrCYkf_3lT5n8QLurEOO_tKAb0HhBJsRdLSM-IL6sY
Johns Hopkins University,,https://ror.org/00za53h95,jhu.edu,United States of America (the),Baltimore,Maryland,grid.21107.35,https://ror.org/00za53h95,0.9,s1tIyEog3QHL-aroydi5m4Q3a651-s8C4Cb8bsCPmWo
Swiss Federal Institute of Technology in Zurich,ETH Zurich,https://ror.org/05a28rw58,ethz.ch,Switzerland,Zurich,Zurich,grid.5801.c,https://ror.org/05a28rw58,0.9,1KihkYtCLb9RSHpHIuUsuaWGm70e_Mq-v8tnw7KKB94
京都大学,Kyoto University,https://ror.org/02kpeqv85,kyoto-u.ac.jp,Japan,Tokyo,Tokyo,grid.258799.8,https://ror.org/02kpeqv85,0.9,PGyR-mUwg4KO7ebBYSAZmFegyYAji1d0ZtpdgVb15Ns
מכון ויצמן למדע,Weizmann Institute of Science,https://ror.org/0316ej306,weizmann.ac.il,Israel,Rehovot,,grid.13992.30,https://ror.org/0316ej306,0.9,
"University of California, Los Angeles",,https://ror.org/046rm7j60,ucla.edu,United States of America (the),Los Angeles,Los Angeles,grid.19006.3e,https://ror.org/046rm7j60,0.9,E6XDUSp1zR1V-cANK70dYwNkZSC1GGLQn3McET_gGgs
"University of California, San Diego",,https://ror.org/0168r3w48,ucsd.edu,United States of America (the),San Diego,California,grid.266100.3,https://ror.org/0168r3w48,0.9,SccL9B43hP20CecVqP4ZsUMbFUSrg7_odVuvt1aqRPo
Rockefeller University,,https://ror.org/0420db125,rockefeller.edu,United States of America (the),New York,New York,grid.134907.8,https://ror.org/0420db125,0.9,62T0xkeBM7BPlXV92_V3sLIhKEWsSjG9_6B-DK4kjfs
הַאוּנִיבֶרְסִיטָה הַעִבְרִית בִּירוּשָׁלַיִם,Hebrew University of Jerusalem,https://ror.org/03qxff017,new.huji.ac.il/en,Israel,Jerusalem,Jerusalem,grid.9619.7,https://ror.org/03qxff017,0.9,up_OtcgKuSFO7XjSUwTTjxMRKRuG1f4C_HDpbqZBI9E
New York University,,https://ror.org/0190ak572,nyu.edu,United States of America (the),New York,New York,grid.137628.9,https://ror.org/0190ak572,0.9,g1qqeeJKsl3EbyJua7b9_3QYRYnm0YZQlLEE54bXpA0
"University of California, San Francisco",,https://ror.org/043mz5j54,ucsf.edu,United States of America (the),San Francisco,California,grid.266102.1,https://ror.org/043mz5j54,0.9,degSq_TptmVm-ANbrffSPI7C-jZJPaYJh2iK4cpwT2c
University of Wisconsin–Madison,,https://ror.org/01y2jtd41,wisc.edu,United States of America (the),Madison,Wisconsin,grid.14003.36,https://ror.org/01y2jtd41,0.9,zYOhNfbhPrczGo1wR2MFYw_ZdkZAB7_NHX95_UqGeos
University of Illinois at Urbana–Champaign,, https://ror.org/047426m28,illinois.edu,United States of America (the),Urbana,Illinois,grid.35403.31, https://ror.org/047426m28,0.9,XLYqb5VmmBVM_9RuWtNG3IHbTwo_MIrP_WD7vqFhjMs
Duke University,,https://ror.org/00py81415,duke.edu,United States of America (the),Durham,North Carolina,grid.26009.3d,https://ror.org/00py81415,0.9,Au1tHzHRwjjMn1_71Q7fNy8Vcp54AmsPh6eAFkIwYrE
Imperial College London,,https://ror.org/041kmwe10,imperial.ac.uk,United Kingdom of Great Britain and Northern Ireland (the),London,"London, City of",grid.7445.2,https://ror.org/041kmwe10,0.9,5NkzXzkO_PnuRFrjaDUsZdHWz0arj7LdO7ajwXe9_Es
University of Texas Southwestern Medical Center,,https://ror.org/05byvp690,utsouthwestern.edu,United States of America (the),Dallas,Texas,grid.267313.2,https://ror.org/05byvp690,0.9,0a2a_4rzgX5TCeKb1wKNXVIFEYZxaXaId_h-Pi1dklc
University of Texas at Austin,,https://ror.org/00hj54h04,utexas.edu,United States of America (the),Austin,Texas,grid.89336.37,https://ror.org/00hj54h04,0.9,QNsb9mmRFyFLewOwt28B99BuHdWTbR5CTDb4OENeBXs
University College London,,https://ror.org/02jx3x895,ucl.ac.uk,United Kingdom of Great Britain and Northern Ireland (the),London,"London, City of",grid.83440.3b,https://ror.org/02jx3x895,0.9,bFaHoysZP9WVwZutJSe-rrC2OmzUgZ-M-ARqc5H6mfw
大阪大学,Osaka University,https://ror.org/035t8zc32,osaka-u.ac.jp,Japan,Osaka,Osaka,grid.136593.b,https://ror.org/035t8zc32,0.9,86lTlVS1nZwyfXZXQO4DvARBtT3pKl-DVHRos-gmpKU
Northwestern University,,https://ror.org/000e0be47,northwestern.edu,United States of America (the),Evanston,Illinois,grid.16753.36,https://ror.org/000e0be47,0.9,AKj241RAy0MKGCyvwAHpMsDH9yKml8OjWNP7MwLYuKM
